country,state,lga,pop,urb_pop
Nigeria,Sokoto,Yabo,189194.96665549278,38064.14761227369
Nigeria,Kogi,Yagba East,97194.57872730494,0
Nigeria,Kogi,Yagba West,56263.49418717623,0
Nigeria,Cross River,Yakurr,112951.13160288334,0
Nigeria,Cross River,Yala,201582.75895768404,979.9626338481903
Nigeria,Gombe,Yamaltu/Deba,553854.2978739738,24788.049240767956
Nigeria,Jigawa,Yankwashi,77846.43375271559,0
Nigeria,Kebbi,Yauri,166194.06177294254,122868.77789592743
Nigeria,Bayelsa,Yenegoa,529604.8651076555,462929.2619860172
Nigeria,Adamawa,Yola North,240816.67838263512,240054.84748631716
Nigeria,Adamawa,Yola South,426553.7728073597,291148.12652271986
Nigeria,Taraba,Yorro,369968.3853890896,197358.3538313508
Nigeria,Yobe,Yunusari,307353.2165696621,0
Nigeria,Yobe,Yusufari,266775.17687767744,0
Nigeria,Bauchi,Zaki,274316.4549716115,0
Nigeria,Katsina,Zango,138686.68245786428,0
Nigeria,Kaduna,Zango Kataf,377607.41827327013,44177.8253608346
Nigeria,Kaduna,Zaria,776883.6211284995,722052.5547237396
Nigeria,Taraba,Zing,255768.76729804277,78963.34738779068
Nigeria,Zamfara,Zurmi,375458.50034189224,0
Nigeria,Kebbi,Zuru,252434.15943843126,135988.0262249112
