"pop_2025_projected","pop_number_children_u5","pop_number_pw","admin_number_states","admin_number_lgas","admin_number_wards","currency","full_cost","cost_per_person"
258169500.52052,41534537.6826851,12908475.026026,37,774,8801,"Naira",1836403471525.66,7113.16971146132
258169500.52052,41534537.6826851,12908475.026026,37,774,8801,"USD",1147752169.70354,4.44573106966333
