"","pop_2025_projected","pop_number_children_u5","pop_number_pw","admin_number_states","admin_number_lgas","admin_number_wards","currency","scenario","full_cost","cost_per_person"
"1",258169500.52052,41534537.6826851,12908475.026026,37,774,8801,"Naira","scenario 1",2039039086400,7898.06341294731
"2",258169500.52052,41534537.6826851,12908475.026026,37,774,8801,"USD","scenario 1",1274399429,4.93628963309207
