state,lga,pop_2025_projected,pop_number_children_u5,prev_u5_dhs_2021,percentage_urban_pop,chemoprevention_split,code_cm_public,code_iptp,code_smc,code_pmc,code_vacc,code_irs,code_lsm,code_itn_campaign,code_itn_routine,code_itn_urban,code_cm_private
Benue,Ado," 325,721 "," 59,933 ",33.8,25,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Agatu," 204,201 "," 37,573 ",33.8,0,SMC,1,1,1,0,0,0,0,0,1,0,1
Benue,Apa," 170,961 "," 31,457 ",33.8,0,SMC,1,1,1,0,0,0,0,0,1,0,1
Benue,Buruku," 364,277 "," 67,027 ",33.8,69,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Gboko," 638,277 "," 117,443 ",33.8,78,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Guma," 342,989 "," 63,110 ",33.8,29,SMC,1,1,1,0,0,0,0,0,1,0,1
Benue,Gwer East," 297,936 "," 54,820 ",33.8,18,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Gwer West," 216,065 "," 39,756 ",33.8,35,SMC,1,1,1,0,0,0,0,0,1,0,1
Benue,Katsina Ala," 398,292 "," 73,286 ",33.8,45,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Konshisha," 400,096 "," 73,618 ",33.8,57,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Kwande," 439,224 "," 80,817 ",33.8,63,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Logo," 299,544 "," 55,116 ",33.8,43,SMC,1,1,1,0,0,0,0,0,1,0,1
Benue,Makurdi," 530,613 "," 97,633 ",33.8,95,SMC,1,1,1,0,0,0,0,0,1,0,1
Benue,Obi," 174,365 "," 32,083 ",33.8,0,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Ogbadibo," 231,389 "," 42,576 ",33.8,73,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Ohimini," 124,870 "," 22,976 ",33.8,3,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Oju," 297,638 "," 54,765 ",33.8,34,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Okpokwu," 310,189 "," 57,075 ",33.8,0,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Oturkpo," 470,612 "," 86,593 ",33.8,47,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Tarka," 140,047 "," 25,769 ",33.8,78,SMC,1,1,1,0,0,0,0,0,1,0,1
Benue,Ukum," 383,298 "," 70,527 ",33.8,83,SMC,1,1,1,0,0,0,0,0,1,0,1
Benue,Ushongo," 339,051 "," 62,385 ",33.8,55,PMC,1,1,0,0,0,0,0,0,1,0,1
Benue,Vandeikya," 414,360 "," 76,242 ",33.8,89,PMC,1,1,0,0,0,0,0,0,1,0,1
Federal Capital Territory,Abaji," 316,579 "," 49,703 ",34.6,0,SMC,1,1,1,0,0,0,0,0,1,1,1
Federal Capital Territory,Abuja Municipal," 4,190,844 "," 657,963 ",34.6,93,SMC,1,1,1,0,0,0,1,0,1,1,1
Federal Capital Territory,Bwari," 1,237,736 "," 194,324 ",34.6,87,SMC,1,1,1,0,0,0,1,0,1,1,1
Federal Capital Territory,Gwagwalada," 856,299 "," 134,439 ",34.6,73,SMC,1,1,1,0,0,0,0,0,1,1,1
Federal Capital Territory,Kuje," 524,912 "," 82,411 ",34.6,54,SMC,1,1,1,0,0,0,0,0,1,1,1
Federal Capital Territory,Kwali," 465,210 "," 73,038 ",34.6,12,SMC,1,1,1,0,0,0,0,1,0,0,1
Kogi,Adavi," 383,008 "," 72,006 ",27.7,79,SMC,1,1,1,0,0,0,0,1,0,0,1
Kogi,Ajaokuta," 215,876 "," 40,585 ",27.7,30,SMC,1,1,1,0,0,0,0,1,0,0,1
Kogi,Ankpa," 469,331 "," 88,234 ",27.7,44,PMC,1,1,0,0,0,0,0,1,0,0,1
Kogi,Bassa," 246,301 "," 46,305 ",27.7,0,SMC,1,1,1,0,0,0,0,1,0,0,1
Kogi,Dekina," 460,148 "," 86,508 ",27.7,27,SMC,1,1,1,0,0,0,0,1,0,0,1
Kogi,Ibaji," 224,939 "," 42,289 ",27.7,0,PMC,1,1,0,0,0,0,0,1,0,0,1
Kogi,Idah," 140,627 "," 26,438 ",27.7,90,PMC,1,1,0,0,0,0,1,1,0,0,1
Kogi,Igalamela Odolu," 259,280 "," 48,745 ",27.7,25,PMC,1,1,0,0,0,0,0,1,0,0,1
Kogi,Ijumu," 209,107 "," 39,312 ",27.7,0,PMC,1,1,0,0,0,0,0,1,0,0,1
Kogi,Kabba/Bunu," 254,927 "," 47,926 ",27.7,54,PMC,1,1,0,0,0,0,0,1,0,0,1
Kogi,Kogi," 202,948 "," 38,154 ",27.7,0,SMC,1,1,1,0,0,0,0,1,0,0,1
Kogi,Lokoja," 346,728 "," 65,185 ",27.7,64,SMC,1,1,1,0,0,0,0,1,0,0,1
