state,lga,pop_2025_projected,pop_number_children_u5,prev_u5_dhs_2021,percentage_urban_pop,chemoprevention_split,code_cm_public,code_iptp,code_smc,code_pmc,code_vacc,code_irs,code_lsm,code_itn_campaign,code_itn_routine,code_itn_urban,code_cm_private
Kwara,Offa,154871,26948,17.6,97,PMC,1,1,0,1,1,1,1,0,1,0,1
Kwara,Oke Ero,99163,17254,17.6,50,SMC,1,1,1,0,1,1,1,0,1,0,1
Kwara,Oyun,164408,28607,17.6,69,PMC,1,1,0,1,1,1,1,0,1,0,1
Kwara,Pategi,192950,33573,17.6,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Nasarawa,Akwanga,198039,37825,29.9,40,SMC,1,1,1,0,1,1,1,1,1,0,1
Nasarawa,Awe,200129,38225,29.9,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Nasarawa,Doma,245979,46982,29.9,37,SMC,1,1,1,0,1,1,1,1,1,0,1
Nasarawa,Karu,382673,73091,29.9,76,SMC,1,1,1,0,1,1,1,1,1,0,1
Nasarawa,Keana,144767,27651,29.9,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Nasarawa,Keffi,163790,31284,29.9,92,SMC,1,1,1,0,1,1,1,1,1,0,1
Nasarawa,Kokona,192121,36695,29.9,7,SMC,1,1,1,0,1,1,1,1,1,0,1
Nasarawa,Lafia,583879,111521,29.9,60,SMC,1,1,1,0,1,1,1,1,1,0,1
Nasarawa,Nasarawa,262640,50164,29.9,26,SMC,1,1,1,0,1,1,1,1,1,0,1
Nasarawa,Nasarawa Eggon,331333,63285,29.9,43,SMC,1,1,1,0,1,1,1,1,1,0,1
Nasarawa,Obi,263652,50358,29.9,36,SMC,1,1,1,0,1,1,1,1,1,0,1
Nasarawa,Toto,210691,40242,29.9,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Nasarawa,Wamba,128638,24570,29.9,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Agaie,250255,49801,42.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Agwara,108642,21620,42.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Bida,351523,69953,42.6,99,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Borgu,327430,65158,42.6,12,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Bosso,280638,55847,42.6,51,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Chanchaga,382968,76211,42.6,100,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Edati,302769,60251,42.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Gbako,240303,47820,42.6,2,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Gurara,172167,34261,42.6,20,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Katcha,229027,45576,42.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Kontagora,287898,57292,42.6,54,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Lapai,221692,44117,42.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Lavun,397415,79086,42.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Magama,343788,68414,42.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Mariga,378135,75249,42.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Mashegu,407683,81129,42.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Mokwa,460086,91557,42.6,19,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Muya,196003,39005,42.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Paikoro,299662,59633,42.6,2,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Rafi,352594,70166,42.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Rijau,333802,66427,42.6,16,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Shiroro,446459,88845,42.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Suleja,407452,81083,42.6,99,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Tafa,158896,31620,42.6,88,SMC,1,1,1,0,1,1,1,1,1,0,1
Niger,Wushishi,154884,30822,42.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Plateau,Barikin Ladi,311818,53321,26.4,4,SMC,1,1,1,0,1,1,1,0,1,0,1
Plateau,Bassa,329210,56295,26.4,28,SMC,1,1,1,0,1,1,1,0,1,0,1
Plateau,Bokkos,311376,53245,26.4,28,SMC,1,1,1,0,1,1,1,0,1,0,1
Plateau,Jos East,153132,26185,26.4,10,SMC,1,1,1,0,1,1,1,0,1,1,1
Plateau,Jos North,758222,129656,26.4,99,SMC,1,1,1,0,1,1,1,0,1,1,1
Plateau,Jos South,540016,92343,26.4,96,SMC,1,1,1,0,1,1,1,0,1,1,1
Plateau,Kanam,290685,49707,26.4,4,SMC,1,1,1,0,1,1,1,0,1,0,1
Plateau,Kanke,215506,36851,26.4,5,SMC,1,1,1,0,1,1,1,0,1,0,1
Plateau,Langtang North,246804,42204,26.4,72,SMC,1,1,1,0,1,1,1,0,1,0,1
Plateau,Langtang South,182391,31189,26.4,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Plateau,Mangu,521162,89119,26.4,46,SMC,1,1,1,0,1,1,1,0,1,0,1
Plateau,Mikang,167156,28584,26.4,5,SMC,1,1,1,0,1,1,1,0,1,0,1
Plateau,Pankshin,329696,56378,26.4,27,SMC,1,1,1,0,1,1,1,0,1,0,1
Plateau,Qua'an Pan,342116,58502,26.4,9,SMC,1,1,1,0,1,1,1,0,1,0,1
Plateau,Riyom,228529,39079,26.4,17,SMC,1,1,1,0,1,1,1,0,1,0,1
Plateau,Shendam,355717,60828,26.4,17,SMC,1,1,1,0,1,1,1,0,1,0,1
Plateau,Wase,277231,47406,26.4,14,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Demsa,306551,53953,27.9,12,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Fufore,359908,63344,27.9,4,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Ganye,292016,51395,27.9,34,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Girei,223125,39270,27.9,39,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Gombi,253937,44693,27.9,31,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Guyuk,303282,53378,27.9,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Hong,290701,51163,27.9,11,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Jada,289433,50940,27.9,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Lamurde,191164,33645,27.9,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Madagali,232210,40869,27.9,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Maiha,189310,33319,27.9,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Mayo Belwa,262556,46210,27.9,18,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Michika,266740,46946,27.9,34,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Mubi North,260343,45820,27.9,53,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Mubi South,223299,39301,27.9,64,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Numan,157305,27686,27.9,53,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Shelleng,255145,44906,27.9,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Song,335385,59028,27.9,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Toungo,89657,15780,27.9,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Adamawa,Yola North,343093,60384,27.9,100,SMC,1,1,1,0,1,1,1,0,1,0,1
