"spatial_level_1","spatial_level_2","spatial_level_3","geopolitical_zone","code_case_management","code_smc","code_pmc","code_iptp","code_vaccine","code_vaccine_priority","code_vaccine_1","code_vaccine_1_priority","code_vaccine_2","code_vaccine_3","code_vaccine_4","code_vaccine_5","code_urban_nets","code_nets","code_irs","code_lsm","code_intervention_counts","code_intervention_mix","pop_2006_census","pop_annual_growth_percent","pop_2025_projected","pop_percent_pop_u5","pop_number_children_u5","pop_u5_smc_population","pop_u5_smc_pop_coded","pop_number_pw","pop_number_pw_children_u5","pop_number_children_u1","pop_number_children_1_2_yrs","pop_number_children_0_2_yrs","pop_number_children_5_36_mons","admin_number_states","admin_proportion_states","admin_number_lgas","admin_proportion_lgas","admin_number_wards","admin_proportion_wards","admin_landmass_sqkm","admin_landmass_2perc_coverage_sqkm","admin_landmass_2perc_coverage_hectares","admin_number_phc","admin_proportion_phc","admin_number_shf","admin_number_thf","admin_number_shf_thf","admin_proportion_shf_thf","admin_number_total_hf","admin_proportion_total_hf","prev_u5_state","itn_campaign_eligable","itn_campaign_net_quantity","itn_campaign_net_proportion","itn_campaign_bale_quantity","itn_campaign_bale_proportion","itn_routine_eligable","itn_routine_net_quantity","itn_routine_net_quantity_eligable","itn_routine_net_proportion","lsm_bti_kg_quantity","lsm_bti_kg_proprotion","smc_eligable","smc_spaq_quantity_3_11_months","smc_spaq_quantity_12_59_months","smc_sqaq_quantity","pmc_eligable","pmc_sp_quantity_u1","pmc_sp_quantity_1_2_years","pmc_sp_total_quantity","iptp_sp_total_quantity","vacc_total_dose_quantity","cm_rdt_kit_quantity","cm_act_packs_quantity","cm_iv_artesunate_quantity","cm_ras_quantity","itn_campaign_net_procurement_cost","itn_campaign_net_distribution_procurement_cost","itn_campaign_campaign_cost","itn_campaign_storage_hardware_cost","itn_campaign_total_cost","itn_routine_net_procurement_cost","itn_routine_net_operational_cost","itn_routine_total_cost","irs_total_cost","lsm_bti_procurement_cost","lsm_operational_cost","lsm_total_cost","ento_surveillance_equipment_procurement_cost","ento_surveillance_total_cost","smc_spaq_3_11_months_procurement_cost","smc_spaq_12_59_months_procurement_cost","smc_spaq_total_procurement_cost","smc_campaign_cost","smc_total_cost","pmc_cost_per_child","pmc_total_cost","iptp_sp_procurement_cost","iptp_sp_distribution_cost","iptp_total_cost","vacc_procurement_cost","vacc_operational_cost","vacc_total_cost","cm_rdt_kits_procurement_cost","cm_rdt_kits_distribution_cost","cm_rdt_kits_total_cost","cm_al_procurement_cost","cm_al_distribution_cost","cm_al_total_cost","cm_iv_artesunate_procurement_cost","cm_iv_artesunate_distribution_cost","cm_iv_artesunate_total_cost","cm_ras_prcurement_cost","cm_ras_distribution_cost","cm_ras_total_cost","cm_eqa_national_cost","cm_public_total_cost","cm_private_total_cost","gf_wd_malaria_long_haul_distribution","gf_wd_malaria_warehouse_axial","gf_wd_malaria_warehouse_wib","gf_wd_total_cost","ss_sbc_total_cost","me_national_level_cost","me_state_level_cost","me_total_cost","cb_national_level_cost","cb_state_level_cost","cb_shf_thf_level_cost","cb_lga_phc_level_cost","cb_total_cost","gc_national_level_cost","gc_state_level_cost","gc_lga_level_cost","gc_total_cost","rm_total_cost","cost_total_ngn","cost_total_usd"
1,NA,NA,"North-Central (Middle Belt)","121","89","32","121","121","0","75","0","30","16","0","0","11","110","2",0,728,NA,20369956,3.96,41427459.7322254,18.0571428571429,7463132.9481669,7089976.30075856,5531044.16215196,2071372.98661127,9534505.93477817,1657098.38928902,1657098.38928902,3314196.77857803,1325678.71143121,7,0.189189189189189,121,0.156330749354005,1391,0.158050221565731,210591,421.182,42118.2,6043,0.221428309699168,228,17,245,0.187595712098009,6288,0.219883204531944,3.7,NA,13179427,0.141005746779644,263588.54,0.141416913146604,NA,3056555,3056554.97130351,0.181180611936871,505418.4,0.228570860040041,NA,4611144.18570984,19725450.1277588,24336594.3134686,NA,2722631.80483434,5445263.60966868,8167895.41450303,4092467,4766080.1033375,8927259.86009567,8904420.05788074,862616.005607192,69009.0004479662,93204907744,2083403536.99432,7696785368,NA,102985096648.994,21615957159.0083,1323366064.98363,22939323223.992,0,51754848841.1312,4332405000,56087253841.1312,NA,NA,2139570851.11452,9783823278.46365,11923394129.5782,11770061871.447,23693456001.0252,3724133237.02316,3724133237.02316,2750137843.84005,0,2750137843.84005,30502912275.9167,1786177635.84544,32289089911.7622,4856429375.49383,0,4856429375.49383,6126241014.87023,0,6126241014.87023,2056476608.61371,0,2056476608.61371,85019090.0529806,0,85019090.0529806,NA,13124166089.0308,17902231284.5644,43911088,63362832,194918048,302191968,2359335775.48006,NA,566495138,566495138,NA,198193800,520258725,3019493724,3737946249,NA,1187692940,174240000,1361932940,NA,283520598183.843,177200373.864902
2,NA,NA,"North East","112","86","7","112","112","0","112","0","0","0","0","0","2","110","4",0,657,NA,18984299,3.23666666666667,34975514.1787044,19,6669789.5420967,6336300.06499187,6032260.73907989,1748775.70893522,8418565.25103192,1399020.56714818,1399020.56714818,2798041.13429635,1119216.45371854,6,0.162162162162162,112,0.144702842377261,1210,0.137484376775366,292610,585.22,58522,4110,0.150599098603935,152,11,163,0.124808575803982,4273,0.149421267965171,35.6,NA,9027893,0.0965887814630879,180557.86,0.0968704299722465,NA,2442312,2442312.08700245,0.144770698586588,702264,0.31759248665098,NA,5029000.53194871,21512946.7200028,26541947.2519515,NA,513168.412293355,1026336.82458671,1539505.23688007,3219128.32238211,4023806.9944089,8856834.04332696,11150925.0733115,1080246.10397678,86419.0083178542,63845259296,1427129131.47182,5272289512,NA,70544677939.4718,17272031400.4557,1057423460.85143,18329454861.3071,0,71911840104.2941,4010160000,75922000104.2941,NA,NA,2333456191.14283,10670421589.5846,13003877780.7274,12836650737.5792,25840528518.3066,701933892.426696,701933892.426696,2163254248.24693,0,2163254248.24693,25752364438.8029,1507996909.10329,27260361347.9062,4818117731.08012,0,4818117731.08012,7671836469.28312,0,7671836469.28312,2575306776.05575,0,2575306776.05575,106468220.127386,0,106468220.127386,NA,15171729196.5464,20695242899.3079,38197280,55117920,169554880,262870080,2052333780.25224,NA,524359136,524359136,NA,169880400,346131315,2053635480,2569647195,NA,1018022520,161280000,1179302520,NA,262954825639.066,164346766.024416
3,NA,NA,"North-West","186","159","0","186","171","15","168","15","3","0","0","0","17","169","11",0,1100,NA,35915467,3.11142857142857,64630150.5879628,19.9,12842130.7767018,12200024.2378667,12200024.2378667,3231507.52939814,16073638.3060999,2585206.02351851,2585206.02351851,5170412.04703702,2068164.81881481,7,0.189189189189189,186,0.24031007751938,2003,0.227587774116578,221115,442.23,44223,7234,0.265069070389506,216,17,233,0.178407350689127,7467,0.261111305381683,49.5,NA,29026716,0.310554758271406,580534.32,0.311460321871592,NA,4799463,4799463.12898495,0.284493383839617,530676,0.239993379193573,NA,10170967.5751478,43509139.0714657,53680106.6466135,NA,15779227.0963557,0.0828278464203681,24494497.8763196,6190984.84767016,7435466.156603,18845962.4290658,17192498.5030188,1976259.20146434,133242.011648398,205276935552,4588542641.62846,16951602144,NA,226817080337.628,33941803879.3312,2077975594.96539,36019779474.2966,0,54341227315.0644,6659730000,61000957315.0644,NA,NA,4719328842.25507,21580533012.7432,26299861854.9983,25961651345.2273,52261513200.2257,0,0,4160341847.6479,0,4160341847.6479,47586982800.9369,2786579972.0214,50373562772.9583,10252203585.9038,0,10252203585.9038,11828438999.1319,0,11828438999.1319,4711402053.69629,0,4711402053.69629,164154161.249111,0,164154161.249111,NA,26956198799.9812,36770039497.8466,63230704,91240656,280676384,435147744,3397375670.94648,NA,870810708,870810708,NA,198193800,494776665,3614598312,4307568777,NA,1187692940,267840000,1455532940,NA,504390761341.596,315244225.838497
4,NA,NA,"South-East","95","0","74","95","95","0","15","0","72","8","0","0","13","82","0",0,549,NA,16395555,2.916,28397271.903197,12,3410917.19737592,3240371.33750712,0,1419863.59515985,4830780.79253577,1135890.87612788,1135890.87612788,2271781.75225576,908712.700902304,5,0.135135135135135,95,0.122739018087855,1245,0.141461197591183,33664,67.328,6732.8,3066,0.112344729031549,153,15,168,0.128637059724349,3234,0.113088785536944,26.1,NA,12986052,0.138936841486302,259721.04,0.139341975019194,NA,1500400.96522679,1500400.91334108,0.0889378919018248,80793.6,0.036538168451586,NA,0,0,0,NA,8689565.20237828,17379130.4047566,26068695.6071348,2475717.36782402,3267003.90228396,5904534.90625816,7907948.48129225,766081.04662622,61286.0037298469,91837359744,2052834821.14906,7583854368,NA,101474048933.149,10610835456.4572,649613591.519755,11260449047.977,0,8273265388.30169,3401475000,11674740388.3017,NA,NA,0,0,0,0,0,11885962151.7666,11885962151.7666,1663682083.17988,0,1663682083.17988,20908824710.4077,1224370799.47378,22133195509.8814,3212066996.67792,0,3212066996.67792,5440668568.49333,0,5440668568.49333,1826337260.66814,0,1826337260.66814,75504357.9282667,0,75504357.9282667,NA,10554577183.7677,14397141926.7942,39302160,56712240,174459360,270473760,2111698806.95376,NA,444768910,444768910,NA,141567000,356748840,1531982088,2030297928,NA,848352100,136800000,985152100,NA,190615714969.771,119134821.856107
5,NA,NA,"South-South (Niger Delta)","123","0","123","123","116","7","6","7","92","18","0","0","7","116","0",0,738,NA,21044081,3.10333333333333,38033293.3204257,12.4,4719034.56377575,4483082.83558696,0,1901664.66602129,6620699.22979704,1521331.73281703,1521331.73281703,3042663.46563406,1217065.38625362,6,0.162162162162162,123,0.158914728682171,1408,0.159981820247699,84587,169.174,16917.4,3243,0.118830383642959,265,11,276,0.211332312404288,3519,0.123054865895024,25.4,NA,17717660,0.189559977037532,348917.866666667,0.18719663474633,1,2078618,2078617.47243991,0.123212305741299,203008.8,0.0918088775788471,NA,0,0,0,NA,11638187.7560503,23276375.5121005,34914563.2681508,2866860.14193953,4375593.47665903,9874999.81831952,11106985.8429984,965297.697793898,77224.9758225738,125299291520,2757846443.30078,10347113440,NA,138404251403.301,14699983038.442,899958237.602356,15599941276.0444,0,20788103000.2458,4404015000,25192118000.2458,NA,NA,0,0,0,0,0,15919215284.2936,15919215284.2936,1926530029.28174,0,1926530029.28174,28003797896.754,1639835471.10058,29643633367.8546,5371999913.99927,0,5371999913.99927,7641606278.75346,0,7641606278.75346,2301269768.88691,0,2301269768.88691,95141171.8932113,0,95141171.8932113,NA,15410017133.5329,21020283418.5543,44447744,64137216,197300224,305885184,2388170217.02079,NA,575858694,575858694,NA,169880400,586087380,1620423324,2376391104,NA,1018022520,177120000,1195142520,NA,269651552448.129,168532220.280081
6,NA,NA,"South-West","137","5","127","137","135","0","1","0","20","62","43","9","36","101","0",0,813,NA,27722432,3.205,50705810.7980048,12.7,6429532.65456803,6108056.02183963,150649.646322141,2535290.53990024,8964823.19446827,2028232.43192019,2028232.43192019,4056464.86384039,1622585.94553615,6,0.162162162162162,137,0.177002583979328,1544,0.175434609703443,78771,157.542,15754.2,3595,0.131728408632883,203,18,221,0.169218989280245,3816,0.133440570689233,28.9,NA,11529556,0.123353894962029,230591.12,0.123713589329104,NA,2992862,2992861.74063055,0.177405126588854,189050.4,0.0854963185331477,NA,125594.231460142,537264.212357276,662858.443817418,NA,13637161.817445,27274323.63489,40911485.452335,4312039.48724488,5833520.99139158,8417669.08824735,13301444.2123734,1288578.11744923,103085.00939567,81537020032,1822591964.76251,6733260704,NA,90092872700.7625,21165518623.3132,1295789443.31868,22461308066.6319,0,19358762710.9646,4905285000,24264047710.9646,NA,NA,58275722.0069197,266483049.740361,324758771.747281,320582444.49694,645341216.244221,18653498241.2358,18653498241.2358,2897690556.33308,0,2897690556.33308,37334533873.1366,2186221067.86709,39520754941.0037,4579211994.94608,0,4579211994.94608,9151393640.59205,0,9151393640.59205,3071970308.55062,0,3071970308.55062,127000733.817774,0,127000733.817774,NA,16929576677.9065,23093063222.5817,48740992,70332288,216357632,335430912,2618845749.34667,NA,641403586,641403586,NA,169880400,469294605,1796306460,2435481465,NA,1018022520,197280000,1215302520,NA,245469186654.011,153418241.658757
